emotion,tweet_unicode_emojis
0,"Watching Gilmore Girls, still in PjsU+1F604 Suppose I should start doing Biology revision soon.... "
0,U+1F61D just blue screened on me. It might be a rare occurence but still fustrating.
0,"i am tired of sleeping on the couch, i miss my bed, i miss privacy, i miss talking to my girlfriend, and i miss having a mp3 player.  U+1F62D"
0,aww  that is a long time. I would have like died if I went that long w/o seeing him  ...omg it is epic! such a dorkU+2764 U+FE0F
0,please take me to the metal hammer awards  i will be your slave foreverU+2764 U+FE0F
0,In Pittsburgh finally going to see sissyU+2764 U+FE0F and unfortunatly her bitch girlfriend err  ..
0," Fay and Chinomi hang out with you and they don't.  ... don't worry, we all have our own shortcomings, but that's cool too. U+1F606"
0,Oh teh noes. U+1F61D installer has failed  Its crashed
0,this is ffxi! Everyone should be nice U+1F606
0,#HTPC is being jumpy playing blu-ray  I blame Vista. Might try it with U+1F61D mce one day.
0,The bigger screen and better layout should help a lot with technical books. I'm starting to get U+1F629 envy already
0,"I don't want to smoke anything though.  I even stopped smoking the other herb except for like, one time last week. U+1F606"
0,i just had dinner  so full had stickii date pudding for pudding hahaha U+1F606
0,I have 3 computers all going now.  IE 7 on U+1F61D and IE 8 on Vista  all are still NO Shows!
0,up super early for the dentist   then off to another awesomely long day at work... :-/ vacationU+1F63A.5 weeks away!
0,Meeting up with hubby. U+1F606 Which I have to do... now.
0,"Well, g2g now  got a phyc appoint. bullucks, cnat stand them, well twitterers I give each and ever1 of u a hug U+1F606 xx #scarlettomcflylogo"
0,at my sister's. omg still so much homework and stuff to do  gonna be fun U+1F606
0,I'm on there and you're not talking  U+1F606
0,i have some of those in my folder and i never knew who made em U+1F606 i can only draw stick people  U+1F606 #andyhurleyday
0,WKD and sore neck isn't funny   But I'm watching &quot;What Should You Do&quot; half tipsy...half fun? U+1F606
0,My iTunes Library has seen every major iTunes release; moved from OS 9->U+1F61D->OS X; 5G iPod->iPhone-> iPhone 3G. It's time to rebuild. RIP
0," U+1F606 Some guy shouted it REALLY loudly at slam dunk,i was upset "
0,D: off to derby soon  Driving was fun today U+1F606 I only crashed into a curb :')
0,emily is over tonight U+1F606 work experience is over. Jen I'm  going to miss seeing you like everyday
0,"Long weekend! To do list: Bones Season2&ampU+1F609, Sims3 and Skins Season 2. I have no life "
0," oh of course U+1F606 sorry i missed your point, i think both our points are very valid. i'm still at schooool "
0,just back from town met Ms. Curtin aww the memories :L shes so nice too awws i miss having her as a teacher  its so sunny outside U+1F606
0," haha U+1F606 YEAh, cancelled shows suck  Luckily for me they didn't cancell the shows in California ;) So hopefully i will be"
0,no offence simon you rock at scripting U+1F606 just the ones i use seem to cause me so much pain
0,"BO to Muslim worldU+1F910quot;I'm with you&quot; Iranians: &quot;help us BO&quot;, BOU+1F910quot;tough s--t, your battle, not mine&quot; WTF?! Yeah BO what a great leader.. "
0,yeah... i USED to speak with them... but I drifted U+1F606 hahaha. and well from my weird angle...it's looks really immature
0,Hands are so cold that my ring is about to slip off  impractical solution: keep finger bent U+1F606
0,"Tired....!!!!!!!!!!!!!!!!!  and angry, pissed off and happy... hmmm? xP F**ked up mood U+1F606"
0," C4 didn't treat me well at all  I've got a few neat things up and running mainly appearance enhancements also iHalo, Macman U+1F606"
0,LOL Cooper is cooped up ;] Hate those things.  Though I call them Jenny Long Legs.. U+1F606 No idea why.
0," I want the &quot;Meet the Medic&quot; video already  Spy, Scout and Heavy are my favorite U+1F606 why yes, I've found tf2 slash >_>; (i<3it)"
0,Disappointed by the performance of C&amp;U+1F603RA3 on my macbook pro. Dropped frames all over the place. Boo
0,way to bring me down today ..  wasnt really expecting my grad dinner to go that way.   thank u to every1 who watched it online!. POPUTU+2764 U+FE0F
0,"I want my &quot;Sure Sild&quot;  Can't find theeem. (&quot;Sure Sild&quot; is Norwegian for sour herring, but It's candy, not fish U+1F606)"
0,"can't access ESXi from win 7 (bug) so started U+1F61D vm; can't RDP to it, so need to access console, which is broken in win 7, PERFECT CIRCLE "
0,i wanna see up oh so badly  msbjU+2764 U+FE0F
0,im really sorry  pls forgive me U+1F606
0,someone sent me a mixi invite (*^u^*) ~ but I got caught up on the phone number bit  ~ oh well.. we'll keep trying.  U+1F61D
0,"just watched the 3rd season of The O.C., Marissa died. Very sad  going on with season 4 now U+1F606"
0," oh sorry honey, i never wanted you to be so bored  but tomorrow we see each other again  after 10 years , so amzing U+1F606"
0,LOL U+1F606 im ok thanks just about to start my homework :\ back to school tomorrow after my week off  why dont you have school? <3
0,Also made an especially obvious mistake...which the whole CTK heard U+1F633  STUPID ME.
0,"My Ipod isn't broken anymoreU+2764 U+FE0F I will now watch a movie. I dunno what to do tomorrow  Gonna stay up late, i guess :3"
0,Whut. I use Windows U+1F61D!
0,I'm boreddddddd  someone come amuse meee U+1F606
0,"I have to rant now, but no spoilers for supernatural, torchwood, or star trek! Promise! Lol U+1F606 So, im upset about sam &amp; dean in spn... "
0,got the hiccups  Necie laughing at moi U+1F606
0,new ask swifty was fucking hilarious U+1F606 i wish it was longer though
0,I loveeeeeeee youuuuuu U+1F606 Will u ever read this and write me back?  jejeje (I'm not crazy by the way...just in case!!! )
0," Hello, Diversity Won U+1F606 I wanted flawless to win but that wasnt the case  Nevermind"
0,It's the best..no real ONE meaning..punctuation makes it different! i.e. Booga?  BOOGA!   Booga!   BOOGA?! U+1F633
0,ah iam cold and i have cramps  talk to meU+2764 U+FE0F
0,Just realized that this is a CAREER... Not just a job U+1F633 im a young professional. so this is the path to the rest of my LIFE?!?  scar ...
0," Spine problems or..?  In my case, heels would result in a broken bone, rearranged jaw or nose, probably. U+1F633"
0,Selena U r a so Lucky Person youÂ´re Dating Taylor  I want too U+1F606 But nobody wants to be my Boyfriend  Have a good time together
0,I miss the old Yankees Stadium. Seriously...  Only coz I've been there... LOLOL. I miss Hollywood... Wanna go back... U+1F633
0,re-re-re-installing a second partition with U+1F61D
0,missing out the football for work U+1F606 what a drag
0,aww taylor you're so cute! U+1F606 I feel really old now
0," A response I got, as an ecologistU+1F910quot;World is ending anyway, god will make another for us, so why bother?&quot; "
0,2 hours?! My faulllt!  Ye be a genius no matter how many hours heheU+2764 U+FE0F
0,hmmm im gunna be very near edge and no windows or doors  i dont wanna die U+1F606
0," i wish i could be there  :p but im in exam period U+1F606 , update please on twitter &amp; FB &amp; youtube about MW2 :p"
0,"firstly, yay diversity won bgt =DU+1F604 secondly, brandon flowers is amazing, but just announced on jonathan ross he is married with two kids "
0,Haha U+1F606 I just looked at my profile too. It doesn't look like I'm a robot... I'm kinda disappointed  Lol.
0,Same U+1F606 I feel...sick though
0,Haha Aww Poor David  That's Ok So Do I Lol! Ugh School.... But I Have a 4 Day Weekend Whoot <33 Mrs.CJBaranU+2764 U+FE0F
0,"The worst thing about Monday mornings is having to boot Windows U+1F61D at work, after a weekend of OS/X and Linux goodness "
0,They show too many episodes of him now. U+1F633 I wish they'd show Drake &amp; Josh occasionally on weekdays.
0,i like yout twitter is.... crazy U+1F606 miss you cousin
0,oh i hate it when my dreams are too good then suddenly mom wakes me up  U+1F606
0,Lol U+1F606 They should make them in her size! Im ok danke apart from waking up with a headache today! Goin bk to uni later
0,sorry  that thing is contagious...at least the literal video has 1 of the best lines everU+1F910quot;my matress is made of gypsy sluts.&quot;
0,yeah right !!! miss u evennn moooree  <3 .. me tooooo U+1F606 !!
0,WERE YOU IN LONDONU+1F62E I wanted to go seeeeee you
0,Haha yeah!! >-< flail about arashi!! U+1F606 And omg.. i'm scared of watching tonight's AnS after last week super tanned ohno
0," Yessss.  I'm almost done and waaaaah. I've known what was going to happen, and now I'm putting off finishing it. U+1F606"
0,Sunburn... Hurts soooo good U+1F606! Pool water broke my hair
0,OOOOH! U+1F606 that aint good then
0,I haz no sewing machine and I fail at sewing in general   I can haz ur skillz? U+1F606
0," Have just been perving on your 'following'. U+1F606 All the Twilightpeople are fakes, bb "
0," cant wait to get the new album later today, i wanted to get it at midnight but i didnt  love you guys, U ROCKU+2764 U+FE0F"
0," haahah video tape her U+1F606 while telling her,,I almost died when they told me wwntworth miller is gay "
0,are you doing a level or gcse? i've just started my gcse's  U+1F606
0,time to screw up my fresh install of Win U+1F61D Pro with shitty iTunes
0,Boring apartment waiting for my BFU+2764 U+FE0F listening to the carpenters . Bored i miss my BF
0,about to go to chineseee school  last day babeeyyyyy! U+1F606
0,its soooooooo early. I have exams  but a photoshoot...this early? *jocelynU+2764 U+FE0F*
0,Facebook wont let me upload pictures  cant u tell im doing everything to avoid my coursework U+1F606
0,poor olivia  i love you brittanyU+2764 U+FE0F
0,"I'm not going to the Movie Awards!  Just 'cause I'm at Venezuela Â¬Â¬ haha but I don't care, not too much! lol U+1F606"
0,almost 2U+1F62E doni missed a goal that was practically made ...  ... maybe juve does not want to become 2nd ?  tbey r playing terrible ....
0,Aww Greg  Why Was It Boring ?! Mrs.CJBaranU+2764 U+FE0F
0,AnnaBanana74 i know but everyones hated me U+1F606 and i havent finish
0,can't sleep now it's 02:00 am..  but would try again.. goodnighty night again!! <3U+2764 U+FE0F xoxo
0,crushingU+2764 U+FE0F at home
0,leaving trish and melissa  this night was fun  BU+2764 U+FE0F
0,"Power just had a hiccup, takes about five minutes for DVR to reboot.  Was watching new Phineas &amp; Ferb on U+1F606 and recording I'm a Celeb. "
0," Until when?! GASPS. U+1F633 Yikes, we'll be too occupied to vote. "
0,"Hurt my leg somehow, it sucks.  about to hit the bed... what crap will go down tomorrow? U+1F633"
0,itÂ´s night too here U+1F606 I'm studying math for my exam what are you doing my earphones of my phone broke down  I cant listen music
0,:SU+1F61F fudgdickles. i have my commerce exam tomorrow.  craaaaaap.
0,being sick stinkss  ..text if ya wannnaaU+2764 U+FE0F
0,"I keep making up random bits of songs, but I don't have any ideas for a full song  Annoying, because I can't stop picking the guitar up U+1F606"
0,why wont the fanfic place send me the password :SU+1F61FU+1F61F
0," yeah, i missed his smile  the g's and bill should learn from the gangstah and get themselves a girl too U+1F606"
0,oh my goshhhh its 2! whattttt. ahh gotta be up at 7 tmr. &amp; im still sneezing  good night cutiesU+2764 U+FE0F
0," awwww, im not going summertime ball  boo. but i did vote lotsiesU+2764 U+FE0F have a real good time guysâ¥ loveyouLOADSSS(L)"
0,Chuffed to see that Man U have been knocked out FA Cup by Everton U+1F606 ....The team that beat LFC
0,"Walking to school, hayfever very bad  too hot too U+1F606"
0,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kayU+2764 U+FE0F*
0," ××?! ×× ××? ×¤×××¨ !  × ×× , ×?× ×ª××× ×¤×¢××××?. ×?×ª ×××××ª ×× ×××× ××ª××¨ ××ª× × ××××××××ª! U+1F606"
0,"Aww I miss being in the kids choir  I used to sing in all the sections. Soprano, Alto, AND tenor...WHAT! LolU+2764 U+FE0F"
0,got sunstroke bad  good holidays thouu U+1F606
0,I didnt go.  It was like 6am here when you started U+1F606. Please do one where in london time its later than 10am haha. x
0," i was team jacob before pa  dude, i'm still posting the finger pic okay U+1F606"
0,that sucks! i think it should be out over there U+1F606
0,woop driving lesson sooon U+1F606 Wants the man to deliever her laptop lead sooon  x
0,Wow! Wats this about the fight eminen had? =O i cant wait to see the show to morrow U+1F606 poor eminen tho  haha.
0,"Pastor K. PaganoU+1F910quot;belief in God and guns. Without that this country wouldn't be here.&quot;/this country was stolen from the Indians, dumbass. "
0,"Too bad di film order of phoenix, gak dikasih adegan HP kissing Hermionie.  But @ half blood prince, Ada scene HP kissing Ginny, yay! U+1F606"
0,"its raining  but its alright, then the grass will get greener  good for the horses! The school ends soon! YEAH im so happy for that! U+1F606"
0,haha oh me too  haha oh i know went so for SO long U+1F606 night xx
0,U+1F633 Huh? And please give back the favor by taking a piss in Houston...I really need it to rain
0,I'm bugging with Office 2007 numbering problem. e.g  Heading 2 is displayed as &quot;5.1&quot; and Heading 3 under 5.1 showing as &quotU+1F609.1.1&quot;.
0,"I feel so sick today  maybe its all that ice-cream I eat to breakfast U+1F606 Need to clean my room and work out!&quot;#ï¿½ pic on the blog, reaaaad"
0,started studying  but keeps ending up on facebook and twitterU+1F61B
0,is lookin at horrid pictures of herself that people have been posting on facebookU+1F61F
0,just finished watching Hannah Montana the Movie and it's so sad  it ALMOST made me cry. and Travis is so CUTE!! lmao U+1F606
0,I'm off to study for my advanced functions math exam -.- ! and yup. next week is booked   o well. im broke anyways U+1F606
0,aw wow  yeah its so annoying to see them stacked up on shelves waiting for your copy. idk where mine is even U+1F606
0,... Oh my  That... probably wasn't smart U+1F606
0," I aint giving up, i tell you that. U+1F606 Totally messed up BB if this carries on. "
0,FUCK SQUIRREL EYE SOCKETS! my thesis sounds like fart U+1F629 ahhh im gunna fail history
0," hahah Oh gosh Shell, bringing a Rubix Cube too a gig!! lol U+1F606 No probs! I just wish stupid Pete had said hi to u.. "
0,"Morning twitter, just woke and I have a stupid headache that won't go away  good luck for Bash tonight U+1F606 hopefully he'll do like Kriss."
0,me 2! ... best night ever! U+1F606 ... sorry for the late reply laptop broke  .... hvnt heard anything good on in cardiff sos
0,awww that stinks  lol   are you gonna watch hannah tonight (bahahaha i think i know that answer U+1F606)
0,I though I was getting better but I'm not. I'm getting worse. Oh my  So sickU+1F494
0,"- so boredd been inside all daÑ, just mÑ luck for the weather to be good when im ill     hopefullÑ im better tomorro.U+1F63A"
0,"Val and Jacobe made me sad  I know they were talking to my brother, cuz they know I'll listen to Val she the best Role Model ever luvherU+2764 U+FE0F"
0,HEY! omg U+1F606 how've you been?! It has been a long time
0,The school as made the decision to  go with windows .. so by nextweek we would be seeing the first installment of windows U+1F61D
0,i'm still really colddddd  watching BOLTU+2764 U+FE0F I LOVE EVERYBODY IN THE MOVIE EXCEPT MILEY'S CHARACTER!
0,"Literature and Biography  Ok ok ok, Everything will be Ok since I'm Cassiopeia U+1F606"
0,aw  I'll send you one...if possible hehe. Hows mars bar and her little crush U+1F606
0,720 updates! omgggg it looks like yesterday i updated my twitter for the 100th time U+1F633 am i addicted?
0,"Shit, I'm so tired I'm like falling asleep! I still gotta finish my project though  Gotta stay awake U+1F633"
0,"No Lucky Potions in the CS today due to the bug.  There will be Animal Crackers, though! +50% bonus U+1F61D for your pets."
0,lol i suck at knowledge of that stuff but i'm great with clocks now U+1F606 n yeah Dobbs is a bases loaded blower
0,/me shifts uncomfortably....I thought you said you wouldn't tell anyone  Now you deserve to have it HA! U+1F606
0," Ohh, that's weird U+1F633 Hopefully the new version works! FOr some reason, it wont minimize to the tray though "
0,"my arms are killing me  and my throat is sore... hopefully it gets better soon because today is kinda busy!! Church, graduation, bonfireU+2764 U+FE0F"
0,i know  im thinking of replacing it with a machamp U+1F606 i want andrew's gold version top 6!
0,gah I'm tired Last night got me like this  But It was a great night though U+1F606
0," Aw scary people bus.  Uhm, just imagine them all naked? U+1F606 No, probably not my best-ever suggestion!"
0,My neck is still killing from Mcfly  and my ribs are hurting  urgh lolll.But it was amazing.Dougie Poynter jumped on me!... <3U+2764 U+FE0FU+2764 U+FE0F
0,"I missed the auditions...  Oh well, atleast I have a routine. HAPPY MOTHERS DAY! I wanna play LittleBigPlanet U+1F606"
0,â¥I am Sadâ¥  Bu...!!...U+1F606
0,I need a ladder.  This world was made for tall people!!! U+1F629
0,Another few hours of doing the design. U+1F633 I hate it.
0,just founf out that a friend of mine 's cat got hit by a car an died :'(  and she have 3 kittens :O   sooo sad :'( RIP doris <3U+2764 U+FE0FU+2764 U+FE0F
0,i really have to piss but im too lazy to walk to the bathroom...  wtf is wrong wiff meh U+1F606 hahahaha
0,R.I.P auntie margareteU+2764 U+FE0F great news too hear while I'm on ma way to church
0,I listen to hip hop U+1F606. and and hardcore music.
0,anddddd today's gonna be my last fill of protein drink  im going to miss  it U+1F60E
0,To tired to learn.  <~MMFCLU+2764 U+FE0F~>
0,is not liking the weather outside and gutted im up  hope everyone's okay in LA after the earthquakeU+1F62E
0,That's the whole hassle. I have been trying to get the Presario F700 compatible with U+1F61D. But there are always driver conflicts.
0,awake U+1F606 This afternoon I'm going to my cousins birthday party! I don't know what I can eat there though
0,Wants to go to London... its everywhere!!  ahh well 20 days 2 go ... im sure it wont kill me lol... gna try and do revision 2day :SU+1F61F
0,Watching my clothes </3  U+1F606
0,i think i just lost my phone U+1F633 .... i cant find it
0,i wanna go home... enough work for me today!!! U+1F61D and I miss Jamie.
0,haha oh thanks what you trying to say  meany lol yep and I think this is my 500th woo go me lol U+1F606 and yeah you do
0,gonna change my clothes now U+1F606 and I have to study a lot for school
0,Loving my bf. Miss him so much   <3TS<3TEU+2764 U+FE0F
0,"Writing some more today, trying to add another chapter to my ATL fan-fic. Cant see J today  maybe gonna see C &amp; S U+1F606"
0,i wish i could go back to bed.  BUT sick day =DU+1F604
0," sadly no  i'll try to kill your uncle in my sleep tonight though, see how successful it is U+1F606"
0,I know exactly what you mean. My body hates me too!   I never get enough protein! Hope you feel betterU+2764 U+FE0F
0,i do not like this 10 things i hate about you tv series. it makes me miss my bb heathU+2764 U+FE0F
0,lol.....yes!!! cant seem to get a profile picture up tho   how are you? U+1F606
0,woke up at 11 this mornin Lazy Lazy U+1F606  chattin 2 friends nd in all day bloody hate the weather  xX
0,awake now U+1F633. hunngrrryyy somebody feed me  lol  lol I don't think that'll work lol.
0,me too U+1F606   wanna play the sims 3 NOW
0,"Thinking of youU+2764 U+FE0F I just want things to work out, for once. It is so amazing to me how unfair life really is and how selfish people are. "
0,i wisssssshhhhhh i was at bamboozleU+2764 U+FE0F?!
0," Yes, you are one, 4everU+1F609Are they good? I never tried them out   Me and Besi ate Pombears with ketchup in english"
0,and gained 0 U+1F61D    Now I wanna start playin WoW again and ruin my life.
0,"Walmart fer 2 hours -.- jst bought a magazine &amp; cheese cheetos, &amp; ice breaker ice tea! ;DD ehhh. Ahhaa science quiz tmrw  taylor lautnerU+2764 U+FE0F"
0," hi^^ yep,that's terrible(( a weird tradition-it always starts to snow when my b-day is around.U+1F606 "
0,"Good night, I taught Oleg and Terr the Hoedown Throwdown, hahah, my first two students! BabiesU+2764 U+FE0F. Work tomorrow morning "
0,:OU+1F62E wowww Roger!!! do you know A.Radwanska?? polish tenis player jeje but she lost  what about the plane??:O
0,"Better Mood  Watchiin 2 &amp;&amp; Half Man Fun Fun U+1F606 Oh My Sister's iiN  Cuba , Missin Her SO Much  14 Days iiS a Long Tiime 0_o ..."
0,buuuu  i'm your sweet nurse baby 1313 U+1F606
0,"I'm feeling ecstatic!! I met James Matthews and Josh Wilkinson and got James Towel U+1F606, maan my ears are still ringing and my throat hurts "
0,good evening tweeps U+1F606 first day of school is soo boooring
0,haha suuuuure... i mena I'm happy to see Patrick do &quot;Enchanted&quot; and &quot;Thriller&quot; U+1F606 buuuuut not as much time to talk to you
0,i am...U+1F62D. our only children
0,hei I do!  jk! U+1F606 I LOVE YOU SO SO FREAKIN MUCH you already know that! ;D
0,aww  get it when your mom comes back U+1F60E
0,we didn't place  and Eastlake got 3rd AGAIN! They so copied our concepts tooU+1F494
0,Yo Yo Yo (:  Msn Aint Workin  Youtube Can Be My Best Friend Again Now. U+1F606
0,cool  send me a message   well i g2g now U+1F606 leaving my mac now   we can text instead U+1F606
0,i know this!  lol leaving back tomorrow morning  lol i wanna stay.  :::sigh:::  - $tephU+2764 U+FE0F
0,Someone help me find a D&ampU+1F609 table please
0,butbutbut  i wanna go this time!! lolol U+1F606
0,have a good night  - $tephU+2764 U+FE0F
0,: Yeaa.  Sayang hinde tayo nagkita. Tsk2. Next time ulet. U+1F606
0,"OFF OUT IN THE SUNSHINE IN A MIN,,  SCHOOL WAS TURD    WATCHIN PHINEAS &amp; FERB AT THE MOMENT....aha U+1F606"
0,On my Eee PC!    On Windows U+1F61D.    Got Spider Solitaire.
0,quality time with my [PRiNCESS] _ some noqqin and&amp;' toyzs! dhen eatinqg dinner dhat my babi3e cooked for meU+2764 U+FE0F dhen back home
0,Last Man Standing is NOT going to fix Ortom V. HHH by ANY means. Way to make RAW even WORSE Vince  Good Night twitterverseU+2764 U+FE0F
0,"Aww man, my internet isn't working in my apartment right now.  At least I have my iPhone. U+1F635"
0,im just sOoO bOored  mmm..!!! OMG..!! i think ii loOve u..!! U+1F606
0," I also have stomachproblems, yougurt is one of the things I also can eat. but I can't eat raw fruit  I'll hope you feel betterU+2764 U+FE0F"
0,yeahh! Ryland was amazing U+1F606 BUT I DIDN'T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he'd just woken up
0,home U+1F606 I burnt my arm on the steamer at work twice  lol
0,u should have stay more! ... Next trip... Peruuuuuu! U+1F606
0,cool!! U+1F606 I just checked your pics and omg you look so sad in the first one  I don't think they are too short
0,camp rock finished  i'm sad  U+1F606
0," BAH!!!! wish i could... at work  and the dumb'os in the IT dept crippled my PC to the bone, so i can't get on those fun stuffs U+1F606"
0," U+1F606 They were giving out plumbob headbands too! I was late though, didn't get it.  I really wanted it too, lol."
0,omg you couldve  just come anyway lmfao [x loveyouuU+2764 U+FE0F xoxo
0," Ahhh, I feel you.  Business test tomorrow too. Not the point,.IT'LL BE OVER SOON. Think that way. ;) PRAYIN' for ya hereU+2764 U+FE0F"
0," Fankoo! Yeah it was real fun, I sold a bunch of eggs at one point U+1F606 I sure do miss you though "
0,awww  goodluck on everything! and I hope you won't have to stay up hella late again boo. take careeU+2764 U+FE0F
0,going to sleep although nobody gives a crapU+1F61F yeah it does suck
