emotion,tweet_no_emojis,emoticons
0,"I am REALLY tired, and think perhaps it is time for bed!  But worrying that I'm going to offend people by e-mailing them back today. ",😳
0,"  Damn! Ill stick with my $25 Mp3 player for now. Im too poor for that. And if i werent, i am now cause of yesterday ",😳
0,"just got up 2 c my darling on tv. but i didnt  ...had breakfast and tried to make a good white coffe ... well, was ok ",😆
0,"Home, tired, but had a gooooood night. Loving awkward prom dates  AND OMFG I MISS NIKKI ",😆
0,Maria left me  now its boring <BC>,❤️
0,still studying lines  goodnight all you tweeters out there gonna be a great weekkk!,❤️
0,"watched newsline today at home. So yeah, that whole squashed 4 thing? Wasn't cool during rehearsals, and guess what... still not cool ",😺
0,"Followers, why have you deserted me? [   ]",😺
0,Bored  Might as well go and watch the logies,😳
0,"Watching Gilmore Girls, still in Pjs Suppose I should start doing Biology revision soon.... ",😄
0,just blue screened on me. It might be a rare occurence but still fustrating.,😝
0,"i am tired of sleeping on the couch, i miss my bed, i miss privacy, i miss talking to my girlfriend, and i miss having a mp3 player.  ",😭
0,aww  that is a long time. I would have like died if I went that long w/o seeing him  ...omg it is epic! such a dork,❤️
0,please take me to the metal hammer awards  i will be your slave forever,❤️
0,In Pittsburgh finally going to see sissy and unfortunatly her bitch girlfriend err  ..,❤️
0," Fay and Chinomi hang out with you and they don't.  ... don't worry, we all have our own shortcomings, but that's cool too. ",😆
0,Oh teh noes.  installer has failed  Its crashed,😝
0,this is ffxi! Everyone should be nice,😆
0,#HTPC is being jumpy playing blu-ray  I blame Vista. Might try it with  mce one day.,😝
0,The bigger screen and better layout should help a lot with technical books. I'm starting to get  envy already,😩
0,"I don't want to smoke anything though.  I even stopped smoking the other herb except for like, one time last week. ",😆
0,i just had dinner  so full had stickii date pudding for pudding hahaha,😆
0,I have 3 computers all going now.  IE 7 on  and IE 8 on Vista  all are still NO Shows!,😝
0,up super early for the dentist   then off to another awesomely long day at work...  vacation.5 weeks away!,😺
0,Meeting up with hubby.  Which I have to do... now.,😆
0,"Well, g2g now  got a phyc appoint. bullucks, cnat stand them, well twitterers I give each and ever1 of u a hug  xx #scarlettomcflylogo",😆
0,at my sister's. omg still so much homework and stuff to do  gonna be fun,😆
0,I'm on there and you're not talking,😆
0,i have some of those in my folder and i never knew who made em  i can only draw stick people   #andyhurleyday,😆
0,WKD and sore neck isn't funny   But I'm watching &quot;What Should You Do&quot; half tipsy...half fun?,😆
0,My iTunes Library has seen every major iTunes release; moved from OS 9->->OS X; 5G iPod->iPhone-> iPhone 3G. It's time to rebuild. RIP,😝
0,"  Some guy shouted it REALLY loudly at slam dunk,i was upset ",😆
0,off to derby soon  Driving was fun today  I only crashed into a curb,😆
0,emily is over tonight  work eerience is over. Jen I'm  going to miss seeing you like everyday,😆
0,"Long weekend! To do list: Bones Season2&amp, Sims3 and Skins Season 2. I have no life ",😉
0," oh of course  sorry i missed your point, i think both our points are very valid. i'm still at schooool ",😆
0,just back from town met Ms. Curtin aww the memories :L shes so nice too awws i miss having her as a teacher  its so sunny outside,😆
0," haha  YEAh, cancelled shows suck  Luckily for me they didn't cancell the shows in California  So hopefully i will be",😆
0,no offence simon you rock at scripting  just the ones i use seem to cause me so much pain,😆
0,"BO to Muslim worl&quot;I'm with you&quot; Iranians: &quot;help us BO&quot;, BOquot;tough s--t, your battle, not mine&quot; WTF?! Yeah BO what a great leader.. ",🤐
0,yeah... i USED to speak with them... but I drifted  hahaha. and well from my weird angle...it's looks really immature,😆
0,Hands are so cold that my ring is about to slip off  impractical solution: keep finger bent,😆
0,"Tired....!!!!!!!!!!!!!!!!!  and angry, pissed off and happy... hmmm? xP F**ked up mood ",😆
0," C4 didn't treat me well at all  I've got a few neat things up and running mainly appearance enhancements also iHalo, Macman ",😆
0,LOL Cooper is cooped up  Hate those things.  Though I call them Jenny Long Legs..  No idea why.,😆
0," I want the &quot;Meet the Medic&quot; video already  Spy, Scout and Heavy are my favorite  why yes, I've found tf2 slash ; (iit)",😆
0,Disappointed by the performance of C&amp;RA3 on my macbook pro. Dropped frames all over the place. Boo,😃
0,way to bring me down today ..  wasnt really eecting my grad dinner to go that way.   thank u to every1 who watched it online!. POPUT,❤️
0,"I want my &quot;Sure Sild&quot;  Can't find theeem. (&quot;Sure Sild&quot; is Norwegian for sour herring, but It's candy, not fish )",😆
0,"can't access ESXi from win 7 (bug) so started  vm; can't RDP to it, so need to access console, which is broken in win 7, PERFECT CIRCLE ",😝
0,i wanna see up oh so badly  msbj,❤️
0,im really sorry  pls forgive me,😆
0,someone sent me a mixi invite (*^u^ ~ but I got caught up on the phone number bit  ~ oh well.. we'll keep trying.,😝
0,"just watched the 3rd season of The O.C., Marissa died. Very sad  going on with season 4 now ",😆
0," oh sorry honey, i never wanted you to be so bored  but tomorrow we see each other again  after 10 years , so amzing ",😆
0,LOL  im ok thanks just about to start my homework  back to school tomorrow after my week off  why dont you have school?,😆
0,Also made an especially obvious mistake...which the whole CTK heard   STUPID ME.,😳
0,"My Ipod isn't broken anymore I will now watch a movie. I dunno what to do tomorrow  Gonna stay up late, i guess ",❤️
0,Whut. I use Windows !,😝
0,I'm boreddddddd  someone come amuse meee,😆
0,"I have to rant now, but no spoilers for supernatural, torchwood, or star trek! Promise! Lol  So, im upset about sam &amp; dean in spn... ",😆
0,got the hiccups  Necie laughing at moi,😆
0,new ask swifty was fucking hilarious  i wish it was longer though,😆
0,I loveeeeeeee youuuuuu  Will u ever read this and write me back?  jejeje (I'm not crazy by the way...just in case!!! ),😆
0," Hello, Diversity Won  I wanted flawless to win but that wasnt the case  Nevermind",😆
0,It's the best..no real ONE meaning..punctuation makes it different! i.e. Booga?  BOOGA!   Booga!   BOOGA?!,😳
0,ah iam cold and i have cramps  talk to me,❤️
0,Just realized that this is a CAREER... Not just a job  im a young professional. so this is the path to the rest of my LIFE?!?  scar ...,😳
0," Spine problems or..?  In my case, heels would result in a broken bone, rearranged jaw or nose, probably. ",😳
0,Selena U r a so Lucky Person youÂ´re Dating Taylor  I want too  But nobody wants to be my Boyfriend  Have a good time together,😆
0,I miss the old Yankees Stadium. Seriously...  Only coz I've been there... LOLOL. I miss Hollywood... Wanna go back...,😳
0,re-re-re-installing a second partition with,😝
0,missing out the football for work  what a drag,😆
0,aww taylor you're so cute!  I feel really old now,😆
0," A response I got, as an ecologistquot;World is ending anyway, god will make another for us, so why bother?&quot; ",🤐
0,2 hours?! My faulllt!  Ye be a genius no matter how many hours hehe,❤️
0,hmmm im gunna be very near edge and no windows or doors  i dont wanna die,😆
0," i wish i could be there   but im in exam period  , update please on twitter &amp; FB &amp; youtube about MW2 ",😆
0,"firstly, yay diversity won bgt  secondly, brandon flowers is amazing, but just announced on jonathan ross he is married with two kids ","😄,😨"
0,Haha  I just looked at my profile too. It doesn't look like I'm a robot... I'm kinda disappointed  Lol.,😆
0,Same  I feel...sick though,😆
0,Haha Aww Poor David  That's Ok So Do I Lol! Ugh School.... But I Have a 4 Day Weekend Whoot 3 Mrs.CJBaran,❤️
0,"The worst thing about Monday mornings is having to boot Windows  at work, after a weekend of OS/X and Linux goodness ",😝
0,They show too many episodes of him now.  I wish they'd show Drake &amp; Josh occasionally on weekdays.,😳
0,i like yout twitter is.... crazy  miss you cousin,😆
0,oh i hate it when my dreams are too good then suddenly mom wakes me up,😆
0,Lol  They should make them in her size! Im ok danke apart from waking up with a headache today! Goin bk to uni later,😆
0,sorry  that thing is contagious...at least the literal video has 1 of the best lines everquot;my matress is made of gypsy sluts.&quot;,🤐
0,yeah right !!! miss u evennn moooree   .. me tooooo  !!,😆
0,WERE YOU IN LONDON I wanted to go seeeeee you,😮
0,Haha yeah!! >-< flail about arashi!!  And omg.. i'm scared of watching tonight's AnS after last week super tanned ohno,😆
0," Yessss.  I'm almost done and waaaaah. I've known what was going to happen, and now I'm putting off finishing it. ",😆
0,Sunburn... Hurts soooo good ! Pool water broke my hair,😆
0,OOOOH!  that aint good then,😆
0,I haz no sewing machine and I fail at sewing in general   I can haz ur skillz?,😆
0," Have just been perving on your 'following'.  All the Twilightpeople are fakes, bb ",😆
0," cant wait to get the new album later today, i wanted to get it at midnight but i didnt  love you guys, U ROCK",❤️
0," haahah video tape her  while telling her,,I almost died when they told me wwntworth miller is gay ",😆
0,are you doing a level or gcse? i've just started my gcse's,😆
0,time to screw up my fresh install of Win  Pro with shitty iTunes,😝
0,Boring apartment waiting for my BF listening to the carpenters . Bored i miss my BF,❤️
0,about to go to chineseee school  last day babeeyyyyy!,😆
0,its soooooooo early. I have exams  but a photoshoot...this early? *jocelyn*,❤️
0,Facebook wont let me upload pictures  cant u tell im doing everything to avoid my coursework,😆
0,poor olivia  i love you brittany,❤️
0,"I'm not going to the Movie Awards!  Just 'cause I'm at Venezuela Â¬Â¬ haha but I don't care, not too much! lol ",😆
0,almost 2 doni missed a goal that was practically made ...  ... maybe juve does not want to become 2nd ?  tbey r playing terrible ....,😮
0,Aww Greg  Why Was It Boring ?! Mrs.CJBaran,❤️
0,AnnaBanana74 i know but everyones hated me  and i havent finish,😆
0,can't sleep now it's 020 am..  but would try again.. goodnighty night again!!  xoxo,❤️
0,crushing at home,❤️
0,leaving trish and melissa  this night was fun  B,❤️
0,"Power just had a hiccup, takes about five minutes for DVR to reboot.  Was watching new Phineas &amp; Ferb on  and recording I'm a Celeb. ",😆
0," Until when?! GASPS.  Yikes, we'll be too occupied to vote. ",😳
0,"Hurt my leg somehow, it sucks.  about to hit the bed... what crap will go down tomorrow? ",😳
0,itÂ´s night too here  I'm studying math for my exam what are you doing my earphones of my phone broke down  I cant listen music,😆
0,fudgdickles. i have my commerce exam tomorrow.  craaaaaap.,😟
0,being sick stinkss  ..text if ya wannnaa,❤️
0,"I keep making up random bits of songs, but I don't have any ideas for a full song  Annoying, because I can't stop picking the guitar up ",😆
0,why wont the fanfic place send me the password,😟
0," yeah, i missed his smile  the g's and bill should learn from the gangstah and get themselves a girl too ",😆
0,oh my goshhhh its 2! whattttt. ahh gotta be up at 7 tmr. &amp; im still sneezing  good night cuties,❤️
0," awwww, im not going summertime ball  boo. but i did vote lotsies have a real good time guysâ¥ loveyouLOADSSS(L)",❤️
0,Chuffed to see that Man U have been knocked out FA Cup by Everton  ....The team that beat LFC,😆
0,"Walking to school, hayfever very bad  too hot too ",😆
0,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay*,❤️
0," ××?! ×× ××? ×¤×××¨ !  × ×× , ×?× ×ª××× ×¤×¢××××?. ×?×ª ×××××ª ×× ×××× ××ª××¨ ××ª× × ××××××××ª! ",😆
0,"Aww I miss being in the kids choir  I used to sing in all the sections. Soprano, Alto, AND tenor...WHAT! Lol",❤️
0,got sunstroke bad  good holidays thouu,😆
0,I didnt go.  It was like 6am here when you started . Please do one where in london time its later than 10am haha. x,😆
0," i was team jacob before pa  dude, i'm still posting the finger pic okay ",😆
0,that sucks! i think it should be out over there,😆
0,woop driving lesson sooon  Wants the man to deliever her laptop lead sooon  x,😆
0,Wow! Wats this about the fight eminen had?  i cant wait to see the show to morrow  poor eminen tho  haha.,😆
0,"Pastor K. Paganoquot;belief in God and guns. Without that this country wouldn't be here.&quot;/this country was stolen from the Indians, dumbass. ",🤐
0,"Too bad di film order of phoenix, gak dikasih adegan HP kissing Hermionie.  But @ half blood prince, Ada scene HP kissing Ginny, yay! ",😆
0,"its raining  but its alright, then the grass will get greener  good for the horses! The school ends soon! YEAH im so happy for that! ",😆
0,haha oh me too  haha oh i know went so for SO long  night xx,😆
0,Huh? And please give back the favor by taking a piss in Houston...I really need it to rain,😳
0,I'm bugging with Office 2007 numbering problem. e.g  Heading 2 is displayed as &quot;5.1&quot; and Heading 3 under 5.1 showing as &quot.1.1&quot;.,😉
0,"I feel so sick today  maybe its all that ice-cream I eat to breakfast  Need to clean my room and work out!&quot;#ï¿½ pic on the blog, reaaaad",😆
0,started studying  but keeps ending up on facebook and twitter,😛
0,is lookin at horrid pictures of herself that people have been posting on facebook,😟
0,just finished watching Hannah Montana the Movie and it's so sad  it ALMOST made me cry. and Travis is so CUTE!! lmao,😆
0,I'm off to study for my advanced functions math exam -.- ! and yup. next week is booked   o well. im broke anyways,😆
0,aw wow  yeah its so annoying to see them stacked up on shelves waiting for your copy. idk where mine is even,😆
0,... Oh my  That... probably wasn't smart,😆
0," I aint giving up, i tell you that.  Totally messed up BB if this carries on. ",😆
0,FUCK SQUIRREL EYE SOCKETS! my thesis sounds like fart  ahhh im gunna fail history,😩
0," hahah Oh gosh Shell, bringing a Rubix Cube too a gig!! lol  No probs! I just wish stupid Pete had said hi to u.. ",😆
0,"Morning twitter, just woke and I have a stupid headache that won't go away  good luck for Bash tonight  hopefully he'll do like Kriss.",😆
0,me 2! ... best night ever!  ... sorry for the late reply laptop broke  .... hvnt heard anything good on in cardiff sos,😆
0,awww that stinks  lol   are you gonna watch hannah tonight (bahahaha i think i know that answer ),😆
0,I though I was getting better but I'm not. I'm getting worse. Oh my  So sick,💔
0,"- so boredd been inside all daÑ, just mÑ luck for the weather to be good when im ill     hopefullÑ im better tomorro.",😺
0,"Val and Jacobe made me sad  I know they were talking to my brother, cuz they know I'll listen to Val she the best Role Model ever luvher",❤️
0,HEY! omg  how've you been?! It has been a long time,😆
0,The school as made the decision to  go with windows .. so by nextweek we would be seeing the first installment of windows,😝
0,i'm still really colddddd  watching BOLT I LOVE EVERYBODY IN THE MOVIE EXCEPT MILEY'S CHARACTER!,❤️
0,"Literature and Biography  Ok ok ok, Everything will be Ok since I'm Cassiopeia ",😆
0,aw  I'll send you one...if possible hehe. Hows mars bar and her little crush,😆
0,720 updates! omgggg it looks like yesterday i updated my twitter for the 100th time  am i addicted?,😳
0,"Shit, I'm so tired I'm like falling asleep! I still gotta finish my project though  Gotta stay awake ",😳
0,"No Lucky Potions in the CS today due to the bug.  There will be Animal Crackers, though! +50% bonus  for your pets.",😝
0,lol i suck at knowledge of that stuff but i'm great with clocks now  n yeah Dobbs is a bases loaded blower,😆
0,/me shifts uncomfortably....I thought you said you wouldn't tell anyone  Now you deserve to have it HA!,😆
0," Ohh, that's weird  Hopefully the new version works! FOr some reason, it wont minimize to the tray though ",😳
0,"my arms are killing me  and my throat is sore... hopefully it gets better soon because today is kinda busy!! Church, graduation, bonfire",❤️
0,i know  im thinking of replacing it with a machamp  i want andrew's gold version top 6!,😆
0,gah I'm tired Last night got me like this  But It was a great night though,😆
0," Aw scary people bus.  Uhm, just imagine them all naked?  No, probably not my best-ever suggestion!",😆
0,My neck is still killing from Mcfly  and my ribs are hurting  urgh lolll.But it was amazing.Dougie Poynter jumped on me!...,❤️
0,"I missed the auditions...  Oh well, atleast I have a routine. HAPPY MOTHERS DAY! I wanna play LittleBigPlanet ",😆
0,â¥I am Sadâ¥  Bu...!!...,😆
0,I need a ladder.  This world was made for tall people!!!,😩
0,Another few hours of doing the design.  I hate it.,😳
0,just founf out that a friend of mine 's cat got hit by a car an died   and she have 3 kittens    sooo sad  RIP doris,❤️
0,i really have to piss but im too lazy to walk to the bathroom...  wtf is wrong wiff meh  hahahaha,😆
0,R.I.P auntie margarete great news too hear while I'm on ma way to church,❤️
0,I listen to hip hop . and and hardcore music.,😆
0,anddddd today's gonna be my last fill of protein drink  im going to miss  it,😎
0,To tired to learn.  <~MMFCL~>,❤️
0,is not liking the weather outside and gutted im up  hope everyone's okay in LA after the earthquake,😮
0,That's the whole hassle. I have been trying to get the Presario F700 compatible with . But there are always driver conflicts.,😝
0,awake  This afternoon I'm going to my cousins birthday party! I don't know what I can eat there though,😆
0,Wants to go to London... its everywhere!!  ahh well 20 days 2 go ... im sure it wont kill me lol... gna try and do revision 2day,😟
0,Watching my clothes,😆
0,i think i just lost my phone  .... i cant find it,😳
0,i wanna go home... enough work for me today!!!  and I miss Jamie.,😝
0,haha oh thanks what you trying to say  meany lol yep and I think this is my 500th woo go me lol  and yeah you do,😆
0,gonna change my clothes now  and I have to study a lot for school,😆
0,Loving my bf. Miss him so much   TSTE,❤️
0,"Writing some more today, trying to add another chapter to my ATL fan-fic. Cant see J today  maybe gonna see C &amp; S ",😆
0,i wish i could go back to bed.  BUT sick day,"😄,😨"
0," sadly no  i'll try to kill your uncle in my sleep tonight though, see how successful it is ",😆
0,I know exactly what you mean. My body hates me too!   I never get enough protein! Hope you feel better,❤️
0,i do not like this 10 things i hate about you tv series. it makes me miss my bb heath,❤️
0,lol.....yes!!! cant seem to get a profile picture up tho   how are you?,😆
0,woke up at 11 this mornin Lazy Lazy   chattin 2 friends nd in all day bloody hate the weather  xX,😆
0,awake now . hunngrrryyy somebody feed me  lol  lol I don't think that'll work lol.,😳
0,me too    wanna play the sims 3 NOW,😆
0,"Thinking of you I just want things to work out, for once. It is so amazing to me how unfair life really is and how selfish people are. ",❤️
0,i wisssssshhhhhh i was at bamboozle?!,❤️
0," Yes, you are one, 4everAre they good? I never tried them out   Me and Besi ate Pombears with ketchup in english",😉
0,and gained 0     Now I wanna start playin WoW again and ruin my life.,😝
0,"Walmart fer 2 hours -.- jst bought a magazine &amp; cheese cheetos, &amp; ice breaker ice tea! D ehhh. Ahhaa science quiz tmrw  taylor lautner",❤️
0," hi^^ yep,that's terrible(( a weird tradition-it always starts to snow when my b-day is around. ",😆
0,"Good night, I taught Oleg and Terr the Hoedown Throwdown, hahah, my first two students! Babies. Work tomorrow morning ",❤️
0,wowww Roger!!! do you know A.Radwanska?? polish tenis player jeje but she lost  what about the plane??,😮
0,"Better Mood  Watchiin 2 &amp;&amp; Half Man Fun Fun  Oh My Sister's iiN  Cuba , Missin Her SO Much  14 Days iiS a Long Tiime 0_o ...",😆
0,buuuu  i'm your sweet nurse baby 1313,😆
0,"I'm feeling ecstatic!! I met James Matthews and Josh Wilkinson and got James Towel , maan my ears are still ringing and my throat hurts ",😆
0,good evening tweeps  first day of school is soo boooring,😆
0,haha suuuuure... i mena I'm happy to see Patrick do &quot;Enchanted&quot; and &quot;Thriller&quot;  buuuuut not as much time to talk to you,😆
0,i am.... our only children,😭
0,hei I do!  jk!  I LOVE YOU SO SO FREAKIN MUCH you already know that!,😆
0,aww  get it when your mom comes back,😎
0,we didn't place  and Eastlake got 3rd AGAIN! They so copied our concepts too,💔
0,Yo Yo Yo (:  Msn Aint Workin  Youtube Can Be My Best Friend Again Now.,😆
0,cool  send me a message   well i g2g now  leaving my mac now   we can text instead,😆
0,i know this!  lol leaving back tomorrow morning  lol i wanna stay.  :::sigh:::  - $teph,❤️
0,Someone help me find a D&amp table please,😉
0,butbutbut  i wanna go this time!! lolol,😆
0,have a good night  - $teph,❤️
0,: Yeaa.  Sayang hinde tayo nagkita. Tsk2. Next time ulet.,😆
0,"OFF OUT IN THE SUNSHINE IN A MIN,,  SCHOOL WAS TURD    WATCHIN PHINEAS &amp; FERB AT THE MOMENT....aha ",😆
0,On my Eee PC!    On Windows .    Got Spider Solitaire.,😝
0,quality time with my [PRiNCESS] _ some noin and&amp;' toyzs! dhen eatinqg dinner dhat my babi3e cooked for me dhen back home,❤️
0,Last Man Standing is NOT going to fix Ortom V. HHH by ANY means. Way to make RAW even WORSE Vince  Good Night twitterverse,❤️
0,"Aww man, my internet isn't working in my apartment right now.  At least I have my iPhone. ",😵
0,im just sOoO bOored  mmm..!!! OMG..!! i think ii loOve u..!!,😆
0," I also have stomachproblems, yougurt is one of the things I also can eat. but I can't eat raw fruit  I'll hope you feel better",❤️
0,yeahh! Ryland was amazing  BUT I DIDN'T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he'd just woken up,😆
0,home  I burnt my arm on the steamer at work twice  lol,😆
0,u should have stay more! ... Next trip... Peruuuuuu!,😆
0,cool!!  I just checked your pics and omg you look so sad in the first one  I don't think they are too short,😆
0,camp rock finished  i'm sad,😆
0," BAH!!!! wish i could... at work  and the dumb'os in the IT dept crippled my PC to the bone, so i can't get on those fun stuffs ",😆
0,"  They were giving out plumbob headbands too! I was late though, didn't get it.  I really wanted it too, lol.",😆
0,omg you couldve  just come anyway lmfao [x loveyouu xoxo,❤️
0," Ahhh, I feel you.  Business test tomorrow too. Not the point,.IT'LL BE OVER SOON. Think that way.  PRAYIN' for ya here",❤️
0," Fankoo! Yeah it was real fun, I sold a bunch of eggs at one point  I sure do miss you though ",😆
0,awww  goodluck on everything! and I hope you won't have to stay up hella late again boo. take caree,❤️
0,going to sleep although nobody gives a crap yeah it does suck,😟
0," but i wont and dat makes me depressed  i only get to c u in my dreams,i had the best dream last nite u were the star  xx",😆
0,but.. but.. i like my    graphic,😳
0,i wanna have chocolate day too,😆
0,Bye bye ubuntu computer  enjoy having  again,😝
0,....I died laugh when I saw that...so sad that the guy is serious,😆
0,"is happy, even though she lost on double&amp;single ping pong, and badminton  nomore goin up to the stage  but anyways P  ",❤️
0," ADRIAN, i wish i could come over to canada.  hahaha",❤️
0,Some esoteric driver conflict is causing Windows 7 RC to lock randomly on my Macbook Pro. Build 7000 worked fine. gg. Back to .,😝
0,he is hurting my feeling . by calling Andy rude things,😆
0,wants to go back to TO  at least I am sketching again s'pose....Want to play more with colour >< need to clear up room to do it,😱
0,I voted again,😆
0,earache!!!  someone should entertain me,❤️
0," oh  If U want to touch it, GO  Ur my partner for loving N! UPS guy is a good guy  (cute?)",😆
0,Using Data Logger to test my website assignment ...  today no clubbin for me  im far behind schedule ... bloody assignments!!!,😆
0,Thank you ..yes it my dog Micha...she's so sweet..she lives with my parents,😆
0,does anyone know how to convert 6 est to Aus time? ROFL  fucking radio disney,😆
0," Ya, I know they were hard!  But I procrastinated but then I said,&quot;Ya know, I'm just gonna do these!&quot;  I hate poems!!!!",😆
0,The Kindle  doesn't get released till June 10th,😩
0,I'm still tryin to make the &quot.O.A.&quot; song grow on me....not really workin,😉
0,im hungry  what to have to eat.,😆
0,oh twitter is simple and kinda useless lol but everyone twits anyway  lots of uni stuff to do 2day  no fun day at all,😆
0,gotta go! i'm depressed right now..on #andyhurleyday  tweet ya..@ Laura's prob.. haha,😆
0,I completely feel your pain  angels&amp;kings.,❤️
0,i know.  ?Mikey!,❤️
0,I'm so bored!!!!!!!!  And Friends won't respond to texts!!,😩
0,it's 5am... wth... shoot me ... stupid paper. i need to wake up in 3 hours,😵
0,Arg this freakin app keeps crashing!!  fix it apple or else....,😆
0,i know  some people just need to mature if they're doing it just to bait others,😝
0,i like this &quot; site &quot; but i don't understand more thinks ^^ lol ^^ and my PC is bad ...   ^^,😆
0,hahahhahahha!! I loved your joke!,😆
0," oh man,I'm sooo jealous.i wanna see them too  greetz my man from me ",😆
0,Tried installing mac 10.5.2 on my pc.....now its crashed n unbootable.....gonu install fresh  prof.....,😝
